prompt,response,status,Recommended food
Should I avoid Tamarind if I have Diabetes?,"No, it is generally recommended to avoid or limit Tamarind if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Quinoa on Diabetes?,"Yes, Quinoa is generally considered beneficial for managing Diabetes. This is primarily because Whole grain, high protein.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
What are the risks of eating Burger with Obesity?,"No, it is generally recommended to avoid or limit Burger if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Muesli if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Barley good for Diabetes?,"Yes, Barley is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
How does Submarine sandwich affect Obesity?,"No, it is generally recommended to avoid or limit Submarine sandwich if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Can I eat Cashew if I have Heart Disease?,"Yes, Cashew is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Loganberry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Can I eat Chia seeds if I have Heart Disease?,"Yes, Chia seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Should I avoid Mango if I have Kidney Disease?,"No, it is generally recommended to avoid or limit Mango if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
What's a healthy food I can eat if I have Obesity?,"Yes, Swiss chard is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Why is Garlic recommended for Hypertension?,"Yes, Garlic is generally considered beneficial for managing Hypertension. This is primarily because Rich in beneficial compounds (nitrates, etc.).",Good,"Leafy greens (like spinach, which help balance salt levels), Berries (good for blood vessel health), Oats (helps manage cholesterol), Beetroot (helps relax blood vessels), Garlic (helps widen blood vessels for better flow)"
Does Doughnut worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Doughnut if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Sweet potato affect Kidney Disease?,"No, it is generally recommended to avoid or limit Sweet potato if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Should I avoid Tapioca if I have Diabetes?,"No, it is generally recommended to avoid or limit Tapioca if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the risks of eating Cherry with Diabetes?,"No, it is generally recommended to avoid or limit Cherry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Cherry affect Diabetes?,"No, it is generally recommended to avoid or limit Cherry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the risks of eating Beetroot with Kidney Disease?,"No, it is generally recommended to avoid or limit Beetroot if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is Churros bad for Obesity?,"No, it is generally recommended to avoid or limit Churros if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Why is Cucumber recommended for Obesity?,"Yes, Cucumber is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
